iter	Passed	Remaining
819	13608	2987
820	13625	2970
821	13642	2954
822	13659	2937
823	13675	2920
824	13695	2905
825	13718	2889
826	13735	2873
827	13752	2856
828	13770	2840
829	13787	2823
830	13802	2806
831	13820	2790
832	13837	2774
833	13853	2757
834	13870	2740
835	13887	2724
836	13905	2707
837	13923	2691
838	13942	2675
839	13957	2658
840	13973	2641
841	13989	2625
842	14006	2608
843	14021	2591
844	14036	2574
845	14052	2558
846	14068	2541
847	14083	2524
848	14099	2507
849	14116	2491
850	14133	2474
851	14167	2461
852	14183	2444
853	14200	2427
854	14216	2410
855	14232	2394
856	14251	2378
857	14267	2361
858	14285	2344
859	14301	2328
860	14318	2311
861	14335	2295
862	14356	2279
863	14373	2262
864	14388	2245
865	14406	2229
866	14423	2212
867	14440	2196
868	14458	2179
869	14475	2163
870	14491	2146
871	14507	2129
872	14523	2112
873	14540	2096
874	14561	2080
875	14579	2063
876	14594	2046
877	14610	2030
878	14625	2013
879	14641	1996
880	14657	1979
881	14675	1963
882	14688	1946
883	14703	1929
884	14719	1912
885	14736	1896
886	14754	1879
887	14771	1863
888	14790	1846
889	14805	1829
890	14821	1813
891	14838	1796
892	14854	1779
893	14869	1763
894	14887	1746
895	14903	1729
896	14921	1713
897	14938	1696
898	14954	1680
899	14971	1663
900	14991	1647
901	15007	1630
902	15023	1613
903	15040	1597
904	15055	1580
905	15071	1563
906	15089	1547
907	15105	1530
908	15120	1513
909	15136	1496
910	15152	1480
911	15168	1463
912	15184	1446
913	15201	1430
914	15220	1413
915	15237	1397
916	15253	1380
917	15269	1363
918	15284	1347
919	15300	1330
920	15317	1313
921	15334	1297
922	15352	1280
923	15369	1264
924	15385	1247
925	15403	1230
926	15420	1214
927	15439	1197
928	15455	1181
929	15470	1164
930	15485	1147
931	15503	1131
932	15519	1114
933	15535	1097
934	15552	1081
935	15566	1064
936	15581	1047
937	15598	1031
938	15615	1014
939	15635	998
940	15654	981
941	15671	964
942	15688	948
943	15704	931
944	15721	915
945	15739	898
946	15755	881
947	15771	865
948	15787	848
949	15803	831
950	15818	815
951	15834	798
952	15853	781
953	15869	765
954	15886	748
955	15905	732
956	15921	715
957	15937	698
958	15955	682
959	15972	665
960	15989	648
961	16005	632
962	16021	615
963	16036	598
964	16054	582
965	16070	565
966	16086	548
967	16102	532
968	16117	515
969	16133	498
970	16149	482
971	16166	465
972	16182	449
973	16201	432
974	16218	415
975	16236	399
976	16257	382
977	16277	366
978	16295	349
979	16310	332
980	16325	316
981	16340	299
982	16357	282
983	16374	266
984	16390	249
985	16406	232
986	16425	216
987	16443	199
988	16462	183
989	16481	166
990	16497	149
991	16512	133
992	16527	116
993	16542	99
994	16558	83
995	16574	66
996	16590	49
997	16605	33
998	16621	16
999	16637	0
